category	EC	gene_name	Hmm_file	Hmm_threshold
Carbohydrate Metabolism	5.3.1.12	glucuronate isomerase		
Carbohydrate Metabolism	5.3.1.25	L-fucose/D-arabinose isomerase		
Carbohydrate Metabolism	5.3.1.4	L-arabinose isomerase		
Carbohydrate Metabolism	5.3.1.5	xylose isomerase		
Carbohydrate Metabolism	5.3.1.8	mannose-6-phosphate isomerase		
Carbohydrate Metabolism	6.3.1.2	glutamine synthetase		
Carbon fixation	1.2.1.75	malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+)		
Carbon fixation	1.2.7.4	anaerobic carbon-monoxide dehydrogenase catalytic subunit		
Carbon fixation	1.3.1.84	acrylyl-CoA reductase (NADPH) / 3-hydroxypropionyl-CoA dehydratase / 3-hydroxypropionyl-CoA synthetase		
Carbon fixation	2.1.1.245	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma		
Carbon fixation	2.3.3.8	ATP-citrate lyase alpha-subunit; ATP-citrate lyase beta-subunit	acetate_citrate_lyase_aclA.hmm, acetate_citrate_lyase_aclB.hmm	215|full, 177|full
Carbon fixation	4.1.1.39	ribulose-bisphosphate carboxylase large chain	rubisco_form_I.hmm, rubisco_form_II.hmm	500|full, 500|full
Carbon fixation	6.2.1.40	4-hydroxybutyrate---CoA ligase (AMP-forming)		
Chlorite reduction	1.13.11.49	chlorite dismutase	PF06778.hmm	65|full
Complex carbon degradation	3.2.1.1	alpha-amylase; maltose alpha-D-glucosyltransferase / alpha-amylase		
Complex carbon degradation	3.2.1.14	chitinase; bifunctional chitinase/lysozyme		
Complex carbon degradation	3.2.1.177	alpha-D-xyloside xylohydrolase		
Complex carbon degradation	3.2.1.21	beta-glucosidase		
Complex carbon degradation	3.2.1.23	beta-galactosidase; evolved beta-galactosidase subunit alpha		
Complex carbon degradation	3.2.1.25	beta-mannosidase		
Complex carbon degradation	3.2.1.3	glucoamylase		
Complex carbon degradation	3.2.1.31	beta-glucuronidase		
Complex carbon degradation	3.2.1.37	xylan 1,4-beta-xylosidase		
Complex carbon degradation	3.2.1.4	endoglucanase		
Complex carbon degradation	3.2.1.40	alpha-L-rhamnosidase		
Complex carbon degradation	3.2.1.41	pullulanase		
Complex carbon degradation	3.2.1.52	beta-N-acetylhexosaminidase; hexosaminidase		
Complex carbon degradation	3.2.1.55	alpha-L-arabinofuranosidase; arabinoxylan arabinofuranohydrolase		
Complex carbon degradation	3.2.1.68	isoamylase		
Complex carbon degradation	3.2.1.78	mannan endo-1,4-beta-mannosidase		
Complex carbon degradation	3.2.1.91	cellulose 1,4-beta-cellobiosidase		
Energy Metabolism	1.2.99.2	anaerobic carbon-monoxide dehydrogenase catalytic subunit		
Energy Metabolism	1.4.1.13	glutamate synthase (NADPH) large chain; glutamate synthase (NADPH) small chain		
Energy Metabolism	2.1.2.1	glycine hydroxymethyltransferase		
Energy Metabolism	2.2.1.1	transketolase		
Energy Metabolism	2.3.1.30	serine O-acetyltransferase		
Energy Metabolism	2.5.1.47	cysteine synthase		
Energy Metabolism	2.5.1.48	cystathionine gamma-synthase		
Energy Metabolism	2.7.2.1	acetate kinase		
Energy Metabolism	2.7.7.4	sulfate adenylyltransferase subunit 2		
Energy Metabolism	3.5.1.1	L-asparaginase		
Energy Metabolism	3.5.1.2	glutaminase		
Energy Metabolism	6.3.1.1	aspartate--ammonia ligase		
Energy Metabolism	6.3.1.2	glutamine synthetase		
Energy Metabolism	6.3.4.3	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase		
Ethanol fermentation	1.1.1.1	alcohol dehydrogenase; acetaldehyde dehydrogenase / alcohol dehydrogenase		
Ethanol fermentation	1.1.1.2	alcohol dehydrogenase (NADP+)		
Ethanol fermentation	1.1.2.8	alcohol dehydrogenase (cytochrome c)		
Ethanol fermentation	1.1.5.5	alcohol dehydrogenase (quinone), dehydrogenase subunit		
Ethanol fermentation	1.2.1.5	aldehyde dehydrogenase (NAD(P)+)		
Ethanol fermentation	K00138	aldehyde dehydrogenase		
Ethanol fermentation	K04022	alcohol dehydrogenase		
Fatty acid degradation	1.3.8.5	short-chain 2-methylacyl-CoA dehydrogenase		
Fatty acid degradation	1.3.8.7	acyl-CoA dehydrogenase		
Fatty acid degradation	1.3.8.8	long-chain-acyl-CoA dehydrogenase		
Fatty acid degradation	K06445	acyl-CoA dehydrogenase		
Fatty acid degradation	K06446	acyl-CoA dehydrogenase		
Fatty acid degradation	K09456	putative acyl-CoA dehydrogenase		
Fatty acid degradation	K15980	acyl-CoA dehydrogenase family member 9		
Fatty acid degradation	K18244	acyl-CoA dehydrogenase		
Fermentation	1.1.1.1	alcohol dehydrogenase		
Fermentation	1.1.1.27	L-lactate dehydrogenase		
Fermentation	1.2.7.1	pyruvate ferredoxin oxidoreductase alpha subunit		
Fermentation	2.3.1.54	formate C-acetyltransferase		
Fermentation	2.3.1.8	phosphate acetyltransferase	TIGR00651.hmm	205.40|full
Fermentation	2.7.2.1	acetate kinase	TIGR00016.hmm	146.10|full
Fermentation	6.2.1.1	acetyl-CoA synthetase	TIGR02188.hmm	684.65|full
Fermentation	6.2.1.13	acetate---CoA ligase (ADP-forming) subunit alpha	TIGR02717.hmm	463.00|full
Glycan Biosynthesis and Metabolism	2.3.1.129	UDP-N-acetylglucosamine acyltransferase		
Glycan Biosynthesis and Metabolism	2.7.8.13	phospho-N-acetylmuramoyl-pentapeptide-transferase		
Glycan Biosynthesis and Metabolism	3.1.6.12	arylsulfatase B		
Glycan Biosynthesis and Metabolism	3.1.6.14	N-acetylglucosamine-6-sulfatase		
Glycan Biosynthesis and Metabolism	3.2.1.23	beta-galactosidase		
Glycan Biosynthesis and Metabolism	3.2.1.24	alpha-mannosidase		
Glycan Biosynthesis and Metabolism	3.2.1.25	beta-mannosidase		
Glycan Biosynthesis and Metabolism	3.2.1.31	beta-glucuronidase		
Glycan Biosynthesis and Metabolism	3.2.1.52	beta-N-acetylhexosaminidase		
Glycan Biosynthesis and Metabolism	5.1.3.20	ADP-L-glycero-D-manno-heptose 6-epimerase		
Glycan Biosynthesis and Metabolism	6.3.2.13	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase		
Glycan Biosynthesis and Metabolism	6.3.2.4	D-alanine-D-alanine ligase		
Glycan Biosynthesis and Metabolism	6.3.2.8	UDP-N-acetylmuramate--alanine ligase		
Glycan Biosynthesis and Metabolism	6.3.2.9	UDP-N-acetylmuramoylalanine--D-glutamate ligase		
Halogenated compound utilization	1.21.4.5	tetrachlorohydroquinone reductive dehalogenase		
Halogenated compound utilization	1.21.99.5	tetrachloroethene reductive dehalogenase		
Halogenated compound utilization	3.8.1.2	2-haloacid dehalogenase		
Halogenated compound utilization	K21566	3-chloro-4-hydroxyphenylacetate reductive dehalogenase		
Hydrogenases	1.12.1.4	iron-hydrogenase subunit alpha, iron-hydrogenase subunit beta, iron-hydrogenase subunit gamma		
Hydrogenases	1.12.2.1	[NiFe] hydrogenase large subunit, [NiFe] hydrogenase small subunit		
Hydrogenases	1.12.7.2	ferredoxin hydrogenase		
Hydrogenases	7.1.1.2	bidirectional [NiFe] hydrogenase diaphorase subunit; bidirectional [NiFe] hydrogenase diaphorase subunit; bidirectional [NiFe] hydrogenase diaphorase subunit		
Hydrogenases	N/A	FeFe hydrogenase, H2-evolution/Electron-bifurcation	fefe-group-a13.hmm	733.8|full
Hydrogenases	N/A	FeFe hydrogenase, H2-uptake	fefe-group-a2.hmm	815.2|full
Hydrogenases	N/A	FeFe hydrogenase, H2-uptake/Electron-bifurcation	fefe-group-a4.hmm	599.05|full
Hydrogenases	N/A	FeFe hydrogenase, H2-evolution	fefe-group-b.hmm	440.3|full
Hydrogenases	N/A	FeFe hydrogenase, H2-sensing	fefe-group-c1.hmm	398.25|full
Hydrogenases	N/A	FeFe hydrogenase, H2-sensing	fefe-group-c2.hmm	483.75|full
Hydrogenases	N/A	FeFe hydrogenase, H2-sensing	fefe-group-c3.hmm	427.05|full
Hydrogenases	N/A	Fe hydrogenase, Bidirectional	fe.hmm	621|full
Hydrogenases	N/A	Ni-Fe Hydrogenase, H2-uptake	nife-group-1.hmm	447.25|full
Hydrogenases	N/A	Ni-Fe Hydrogenase, H2-uptake	nife-group-2ade.hmm	611.8|full
Hydrogenases	N/A	Ni-Fe Hydrogenase, H2-uptake	nife-group-2bc.hmm	600.3|full
Hydrogenases	N/A	Ni-Fe Hydrogenase, Bidirectional	nife-group-3abd.hmm	520.25|full
Hydrogenases	N/A	Ni-Fe Hydrogenase, Electron-bifurcation	nife-group-3c.hmm	620.65|full
Hydrogenases	N/A	Ni-Fe Hydrogenase, H2-evolving	nife-group-4a-g.hmm	458|full
Hydrogenases	N/A	Ni-Fe Hydrogenase, H2-uptake	nife-group-4hi.hmm	447.8|full
Iron cycling	N/A	Iron oxidation	Cyc1.hmm	98|full
Iron cycling	N/A	Iron oxidation	Cyc2_repCluster1.hmm	31.5|full
Iron cycling	N/A	Iron oxidation	Cyc2_repCluster2.hmm	27.8|full
Iron cycling	N/A	Iron oxidation	Cyc2_repCluster3.hmm	27.3|full
Iron cycling	N/A	Iron oxidation	FoxA.hmm	128|full
Iron cycling	N/A	Iron oxidation	FoxB.hmm	66|full
Iron cycling	N/A	Iron oxidation	FoxC.hmm	62|full
Iron cycling	N/A	Iron oxidation	FoxE.hmm	37|full
Iron cycling	N/A	Iron oxidation	FoxY.hmm	124|full
Iron cycling	N/A	Iron oxidation	FoxZ.hmm	150|full
Iron cycling	N/A	Iron oxidation	MtoA.hmm	140|full
Iron cycling	N/A	Iron oxidation	sulfocyanin.hmm	45.4|full
Iron cycling	N/A	Metal (Iron/Manganese) reduction	MtrA.hmm	140|full
Iron cycling	N/A	Metal (Iron/Manganese) reduction	MtrB_TIGR03509.hmm	240.05|full
Iron cycling	N/A	Metal (Iron/Manganese) reduction	MtrC_TIGR03507.hmm	209.3|full
Iron cycling	N/A	Iron reduction	CymA.hmm	237|full
Iron cycling	N/A	Iron reduction	OmcF.hmm	83.7|full
Iron cycling	N/A	Iron reduction	OmcS.hmm	78.2|full
Iron cycling	N/A	Iron reduction	OmcZ.hmm	76.9|full
Iron cycling	N/A	Iron reduction	FmnA.hmm	60|full
Iron cycling	N/A	Iron reduction	DmkA.hmm	17|full
Iron cycling	N/A	Iron reduction	FmnB.hmm	33|full
Iron cycling	N/A	Iron reduction	PplA.hmm	32|full
Iron cycling	N/A	Iron reduction	Ndh2.hmm	40|full
Iron cycling	N/A	Iron reduction	EetA.hmm	20|full
Iron cycling	N/A	Iron reduction	EetB.hmm	30|full
Iron cycling	N/A	Iron reduction	DmkB.hmm	25|full
Iron cycling	N/A	Iron reduction	DFE_0448.hmm	27.5|full
Iron cycling	N/A	Iron reduction	DFE_0449.hmm	30|full
Iron cycling	N/A	Iron reduction	DFE_0450.hmm	30|full
Iron cycling	N/A	Iron reduction	DFE_0451.hmm	64|full
Iron cycling	N/A	Iron reduction	DFE_0461.hmm	40|full
Iron cycling	N/A	Iron reduction	DFE_0462.hmm	40|full
Iron cycling	N/A	Iron reduction	DFE_0463.hmm	100|full
Iron cycling	N/A	Iron reduction	DFE_0464.hmm	25|full
Iron cycling	N/A	Iron reduction	DFE_0465.hmm	20|full
Lipid Metabolism	2.3.1.16	acetyl-CoA acyltransferase		
Lipid Metabolism	2.3.1.180	3-oxoacyl-[acyl-carrier-protein] synthase III		
Lipid Metabolism	2.7.1.30	glycerol kinase		
Lipid Metabolism	2.8.3.5	3-oxoacid CoA-transferase		
Lipid Metabolism	3.2.1.23	beta-galactosidase		
Lipid Metabolism	3.5.1.24	choloylglycine hydrolase		
Manganese cycling	1.16.3.3	spore coat protein A, manganese oxidase; manganese oxidase		
Metabolism of Cofactors and Vitamins	1.1.1.86	ketol-acid reductoisomerase		
Metabolism of Cofactors and Vitamins	2.1.1.64	2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase		
Metabolism of Cofactors and Vitamins	2.5.1.72	quinolinate synthase		
Metabolism of Cofactors and Vitamins	2.5.1.9	riboflavin synthase		
Metabolism of Cofactors and Vitamins	2.6.1.42	branched-chain amino acid aminotransferase		
Metabolism of Cofactors and Vitamins	2.7.1.35	pyridoxine kinase		
Metabolism of Cofactors and Vitamins	2.7.1.89	thiamine kinase		
Metabolism of Cofactors and Vitamins	2.7.8.26	adenosylcobinamide-GDP ribazoletransferase		
Metabolism of Cofactors and Vitamins	2.8.1.6	biotin synthase		
Metabolism of Cofactors and Vitamins	3.2.1.31	beta-glucuronidase		
Metabolism of Cofactors and Vitamins	4.2.1.9	dihydroxy-acid dehydratase		
Metabolism of Cofactors and Vitamins	4.2.3.1	threonine synthase		
Metabolism of Cofactors and Vitamins	4.99.1.1	protoporphyrin/coproporphyrin ferrochelatase		
Metabolism of Cofactors and Vitamins	4.99.1.3	sirohydrochlorin cobaltochelatase		
Metabolism of Cofactors and Vitamins	6.3.2.1	pantoate--beta-alanine ligase		
Metabolism of Cofactors and Vitamins	6.3.2.17	folylpolyglutamate synthase		
Metabolism of Cofactors and Vitamins	6.3.4.3	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase		
Metabolism of Other Amino Acids	1.4.1.1	alanine dehydrogenase		
Metabolism of Other Amino Acids	1.8.1.9	thioredoxin reductase (NADPH)		
Metabolism of Other Amino Acids	2.1.2.1	glycine hydroxymethyltransferase		
Metabolism of Other Amino Acids	2.5.1.16	spermidine synthase		
Metabolism of Other Amino Acids	2.5.1.48	cystathionine gamma-synthase		
Metabolism of Other Amino Acids	2.7.2.1	acetate kinase		
Metabolism of Other Amino Acids	2.7.7.4	sulfate adenylyltransferase subunit 2		
Metabolism of Other Amino Acids	2.9.1.1	L-seryl-tRNA(Ser) seleniumtransferase		
Metabolism of Other Amino Acids	3.5.1.1	L-asparaginase		
Metabolism of Other Amino Acids	3.5.1.2	glutaminase		
Metabolism of Other Amino Acids	4.1.1.15	glutamate decarboxylase		
Metabolism of Other Amino Acids	4.1.1.17	ornithine decarboxylase		
Metabolism of Other Amino Acids	4.4.1.16	selenocysteine lyase		
Metabolism of Other Amino Acids	5.1.1.1	alanine racemase		
Metabolism of Other Amino Acids	5.1.1.3	glutamate racemase		
Metabolism of Other Amino Acids	6.1.1.10	methionyl-tRNA synthetase		
Metabolism of Other Amino Acids	6.3.1.1	aspartate--ammonia ligase		
Metabolism of Other Amino Acids	6.3.1.8	glutathionylspermidine synthase		
Metabolism of Other Amino Acids	6.3.2.1	pantoate--beta-alanine ligase		
Metabolism of Other Amino Acids	6.3.2.3	glutathione synthase		
Metabolism of Other Amino Acids	6.3.2.4	D-alanine-D-alanine ligase		
Metabolism of Other Amino Acids	6.3.2.8	UDP-N-acetylmuramate--alanine ligase		
Metabolism of Other Amino Acids	6.3.2.9	UDP-N-acetylmuramoylalanine--D-glutamate ligase		
Metabolism of Terpenoids and Polyketides	1.17.1.2	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase		
Metabolism of Terpenoids and Polyketides	2.2.1.1	transketolase		
Metabolism of Terpenoids and Polyketides	2.3.1.16	acetyl-CoA acyltransferase		
Metabolism of Terpenoids and Polyketides	2.5.1.10	farnesyl diphosphate synthase		
Metabolism of Terpenoids and Polyketides	2.7.7.60	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase		
Methane metabolism	1.14.18.3	methane/ammonia monooxygenase subunit A	pmoA.hmm	160.90|full
Methane metabolism	2.8.4.1	methyl-coenzyme M reductase alpha subunit; methyl-coenzyme M reductase beta subunit	TIGR03256.hmm, TIGR03257.hmm	314.45|full, 173.35|full
Methane metabolism	K03421	methyl-coenzyme M reductase subunit C	TIGR03259.hmm	171.60|full
Methane metabolism	K10945	methane/ammonia monooxygenase subunit B	pmoB.hmm	156.70|full
Methane metabolism	K10946	methane/ammonia monooxygenase subunit C	pmoC.hmm	136.27|full
Methane metabolism	K16160	methane monooxygenase regulatory protein B	PF02406.hmm	10|full
Methane metabolism	K16162	methane monooxygenase component D	TIGR04550.hmm	28.00|full
Nitrile hydration	4.2.1.84	nitrile hydratase subunit alpha; nitrile hydratase subunit beta	TIGR01323.hmm, TIGR03888.hmm	239.05|full, 136.35|full
Nitrogen cycling	1.14.99.39	methane/ammonia monooxygenase subunit A	amoA.hmm	160.90|full
Nitrogen cycling	1.18.6.1	nitrogenase delta subunit; nitrogenase molybdenum-iron protein alpha chain; nitrogenase molybdenum-iron protein beta chain	TIGR02929.hmm, TIGR01282.hmm, TIGR01286.hmm	124.50|full, 503.05|full, 414.50|full
Nitrogen cycling	1.18.6.2	vanadium-dependent nitrogenase alpha chain; vanadium-dependent nitrogenase beta chain; vanadium nitrogenase delta subunit	TIGR01860.hmm, TIGR02932.hmm, TIGR02930.hmm	822.85|full, 821.85|full, 122.35|full
Nitrogen cycling	1.7.1.15	nitrite reductase (NADH) large subunit; nitrite reductase (NADH) small subunit	TIGR02374.hmm, TIGR02378.hmm	442.75|full, 69.85|full
Nitrogen cycling	1.7.2.1	nitrite reductase (NO-forming); nitrite reductase (NO-forming) / hydroxylamine reductase	TIGR02376.hmm, nitrite_reductase_nirS.hmm	169.10|full, 200|full
Nitrogen cycling	1.7.2.2	nitrite reductase (cytochrome c-552)	PF02335.hmm	57|full
Nitrogen cycling	1.7.2.4	nitrous-oxide reductase	TIGR04246.hmm	550.00|full
Nitrogen cycling	1.7.2.5	nitric oxide reductase subunit B	nitric_oxide_reductase_norB.hmm	79|full
Nitrogen cycling	1.7.2.7	hydrazine synthase subunit	hydrazine_synthase_hzsA.hmm	466|full
Nitrogen cycling	1.7.2.8	hydrazine dehydrogenase	hydrazine_oxidase_hzoA.hmm	325|full
